uid,capture_date,confirmed
4,2020-01-22,0
4,2020-01-23,0
4,2020-01-24,0
4,2020-01-25,0
4,2020-01-26,0
4,2020-01-27,0
4,2020-01-28,0
4,2020-01-29,0
4,2020-01-30,0
4,2020-01-31,0
4,2020-02-01,0
4,2020-02-02,0
4,2020-02-03,0
4,2020-02-04,0
4,2020-02-05,0
4,2020-02-06,0
4,2020-02-07,0
4,2020-02-08,0
4,2020-02-09,0
4,2020-02-10,0
4,2020-02-11,0
4,2020-02-12,0
4,2020-02-13,0
4,2020-02-14,0
4,2020-02-15,0
4,2020-02-16,0
4,2020-02-17,0
4,2020-02-18,0
4,2020-02-19,0
4,2020-02-20,0
4,2020-02-21,0
4,2020-02-22,0
4,2020-02-23,0
4,2020-02-24,1
4,2020-02-25,1
4,2020-02-26,1
4,2020-02-27,1
4,2020-02-28,1
4,2020-02-29,1
4,2020-03-01,1
4,2020-03-02,1
4,2020-03-03,2
4,2020-03-04,4
4,2020-03-05,4
4,2020-03-06,4
4,2020-03-07,4
4,2020-03-08,5
4,2020-03-09,7
4,2020-03-10,8
4,2020-03-11,11
4,2020-03-12,12
4,2020-03-13,13
4,2020-03-14,15
4,2020-03-15,16
4,2020-03-16,18
4,2020-03-17,20
4,2020-03-18,24
4,2020-03-19,25
4,2020-03-20,29
4,2020-03-21,30
4,2020-03-22,34
4,2020-03-23,41
4,2020-03-24,43
4,2020-03-25,76
4,2020-03-26,80
4,2020-03-27,91
4,2020-03-28,107
4,2020-03-29,118
4,2020-03-30,146
4,2020-03-31,175
4,2020-04-01,197
4,2020-04-02,240
4,2020-04-03,275
4,2020-04-04,300
4,2020-04-05,338
4,2020-04-06,368
4,2020-04-07,424
4,2020-04-08,445
4,2020-04-09,485
4,2020-04-10,532
4,2020-04-11,556
4,2020-04-12,608
4,2020-04-13,666
4,2020-04-14,715
4,2020-04-15,785
4,2020-04-16,841
4,2020-04-17,907
4,2020-04-18,934
4,2020-04-19,997
4,2020-04-20,1027
4,2020-04-21,1093
4,2020-04-22,1177
4,2020-04-23,1236
4,2020-04-24,1331
4,2020-04-25,1464
4,2020-04-26,1532
4,2020-04-27,1704
4,2020-04-28,1830
4,2020-04-29,1940
4,2020-04-30,2127
